player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,23,221,David Raya Martín,Raya,1,33.9,6.0,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,0,0,0,-3,1,0.00,0.01,0.01,0.71,0,0.5,4.8,0.0,0.0,False,a,,,,
2,109745,23,221,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,23,221,Karl Hein,Hein,1,0.2,4.0,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,23,221,Tommy Setford,Setford,1,0.2,3.9,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,23,221,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,0,0,0,1,1,0.00,0.01,0.01,0.71,6,2.0,13.4,4.2,2.0,False,a,,,,
6,462424,23,221,William Saliba,Saliba,2,14.3,6.1,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,0,0,0,5,1,0.00,0.09,0.09,0.71,4,5.1,14.6,34.8,2.0,False,a,,,,
7,466075,23,221,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,,,
8,445122,23,221,Jurriën Timber,J.Timber,2,19.7,6.1,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,0,0,0,-2,1,0.00,0.01,0.01,0.71,2,1.0,5.4,2.3,2.0,False,i,Ankle injury - Unknown return date,,,
9,440854,23,221,Jakub Kiwior,Kiwior,2,0.0,5.4,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,23,221,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
11,198869,23,221,Benjamin White,White,2,0.5,5.1,1,14,Home,2026-01-25T16:30:00Z,2,3,32,0,0,0,1,0,0,0,2,1,0.00,0.02,0.02,0.27,5,1.4,10.6,1.0,2.0,False,a,,,,
12,206325,23,223,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,5,Away,2026-01-25T14:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,
13,563324,23,221,Brayden Clarke,Clarke,2,0.4,3.7,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
14,588793,23,221,Maldini Kacurri,Kacurri,2,0.1,3.9,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,
15,499167,23,221,Josh Nichols,Nichols,2,0.2,3.7,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
16,223340,23,221,Bukayo Saka,Saka,3,7.0,9.8,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,0,0,0,19,2,0.07,0.43,0.50,0.71,8,9.7,18.6,45.5,33.0,False,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
17,184029,23,221,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,14,Home,2026-01-25T16:30:00Z,2,3,57,0,1,0,2,0,0,0,9,4,0.10,0.02,0.12,0.44,4,0.8,0.0,5.6,4.0,False,a,,4.0,,3.0
18,248857,23,221,Noni Madueke,Madueke,3,0.8,6.8,1,14,Home,2026-01-25T16:30:00Z,2,3,15,0,0,0,1,0,0,0,2,1,0.00,0.00,0.00,0.27,0,0.4,1.2,1.0,2.0,False,a,,3.0,,
19,444145,23,221,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
20,116216,23,221,Leandro Trossard,Trossard,3,0.8,6.5,1,14,Home,2026-01-25T16:30:00Z,2,3,74,0,0,0,2,0,0,0,9,2,0.07,0.01,0.08,0.44,4,1.7,0.2,12.5,4.0,False,a,,,,4.0
21,204480,23,221,Declan Rice,Rice,3,24.5,7.2,1,14,Home,2026-01-25T16:30:00Z,2,3,90,0,0,0,3,1,0,0,18,1,0.11,0.47,0.58,0.71,10,8.3,18.4,54.5,10.0,False,a,,1.0,1.0,
22,195384,23,221,Mikel Merino Zazón,Merino,3,0.8,5.4,1,14,Home,2026-01-25T16:30:00Z,2,3,32,1,0,0,1,0,0,1,26,7,0.49,0.02,0.51,0.27,7,8.4,38.8,1.3,44.0,False,i,Foot injury - Unknown return date,,,
23,438098,23,221,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,
24,128295,23,221,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
25,499175,23,221,Ethan Nwaneri,Nwaneri,3,0.1,5.0,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Marseille on loan for the rest of the season.,,,
26,481655,23,221,Martín Zubimendi Ibáñez,Zubimendi,3,3.1,5.0,1,14,Home,2026-01-25T16:30:00Z,2,3,57,0,0,0,2,0,0,0,8,1,0.31,0.01,0.32,0.44,6,5.2,10.0,1.8,40.0,False,a,,,,
27,200641,23,223,Reiss Nelson,Nelson,3,0.1,4.8,5,16,Home,2026-01-25T14:00:00Z,0,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
28,588796,23,221,Ismeal Kabia,Kabia,3,0.1,4.5,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Shrewsbury Town on loan for the rest of the season.,,,
29,437742,23,221,Albert Sambi Lokonga,Sambi,3,0.0,4.5,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger permanently.,,,
30,219847,23,221,Kai Havertz,Havertz,4,0.8,7.3,1,14,Home,2026-01-25T16:30:00Z,2,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
31,205651,23,221,Gabriel Fernando de Jesus,G.Jesus,4,0.3,6.4,1,14,Home,2026-01-25T16:30:00Z,2,3,57,0,0,0,2,0,0,0,1,1,0.02,0.03,0.05,0.44,4,2.7,2.8,14.6,10.0,False,a,,,,
32,98980,23,229,Emiliano Martínez Romero,Martinez,1,4.8,5.1,2,15,Away,2026-01-25T14:00:00Z,2,0,90,0,0,1,0,0,0,3,38,10,0.00,0.01,0.01,2.18,0,3.6,35.6,0.0,0.0,True,a,,,,
33,72147,23,229,Marco Bizot,M.Bizot,1,0.4,4.2,2,15,Away,2026-01-25T14:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
34,462492,23,229,Joe Gauci,Gauci,1,0.1,4.0,2,15,Away,2026-01-25T14:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Port Vale on loan for the rest of the season.,,,
35,462381,23,229,Filip Marschall,Marschall,1,0.0,4.0,2,15,Away,2026-01-25T14:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Stevenage permanently.,,,
36,199796,23,229,Matty Cash,Cash,2,8.4,4.7,2,15,Away,2026-01-25T14:00:00Z,2,0,90,0,0,1,0,0,0,0,18,6,0.05,0.01,0.06,2.18,4,1.5,7.8,2.0,5.0,False,a,,3.0,,
